"","year","SPCSPI","IR","CPI","Real_1yr","real_pc_consumption","real_SP_return"
"80",1968,95.04,6.17,34.1,1.0169654494382,12877.1554517032,0.0593561433624637
"81",1969,102.04,8.05,35.6,1.01761375661376,13224.5115758537,-0.137299616915454
"82",1970,90.31,9.11,37.8,1.03627085427136,13375.3591962943,0.0162132776605873
"83",1971,93.49,5.66,39.8,1.0231795620438,13711.9873981657,0.101780926125307
"84",1972,103.3,4.62,41.1,1.00936197183099,14396.6179501066,0.135424648569052
"85",1973,118.42,7.93,42.6,0.986656223175966,14959.1753084321,-0.231970226001437
"86",1974,96.11,11.03,46.6,0.993089827255278,14709.7212391479,-0.291228001504195
"87",1975,72.56,7.24,52.1,1.0048928057554,14902.6481982159,0.298388136238529
"88",1976,96.86,5.7,55.6,1.00460170940171,15572.3238239848,0.0583635558238078
"89",1977,103.81,5.28,58.5,0.9854208,16070.003606048,-0.144156439649359
"90",1978,90.25,7.78,62.5,0.986273792093704,16599.4568732244,0.0624059570981859
"91",1979,99.71,10.88,68.3,0.973406683804627,16816.0673890457,0.025894889524093
"92",1980,110.87,11.37,77.8,0.995929425287356,16576.5745729404,0.12219177684541
"93",1981,132.97,17.63,87,1.08523966065748,16646.1725230561,-0.140273629521677
"94",1982,117.28,14.6,94.3,1.10498773006135,16719.585381705,0.242591271269428
"95",1983,144.27,9.37,97.8,1.04969440628067,17515.6372339881,0.154085680451541
"96",1984,166.39,11.11,101.9,1.07318568720379,18284.403768518,0.039889211351507
"97",1985,171.61,8.35,105.5,1.04296760948905,19063.9459696557,0.212087531267851
"98",1986,208.19,7.31,109.6,1.05765971223022,19657.785054109,0.291440338290873
"99",1987,264.51,6.25,111.2,1.02117545375972,20132.1707824179,-0.0578607426193741
"100",1988,250.48,7.63,115.7,1.02830644095789,20758.540895106,0.12583219244649
"101",1989,285.41,9.29,121.1,1.03885549450549,21142.7633571314,0.169094893754156
"102",1990,339.97,8.43,127.4,1.02629881129272,21332.497075325,-0.0601179695035586
"103",1991,325.5,6.92,134.6,1.04210224475018,21086.6914744718,0.282413798856769
"104",1992,416.08,3.91,138.1,1.00630932678822,21489.4521771637,0.0418538362322706
